abnormality,병신
electroencephalograph,뇌파 전위 기록 장치
electroencephalography,뇌파 전위 기록술
electrocorticography,뇌파 측정법
electroencephalogram,뇌파기록장치
eeg,뇌파도
convolution,뇌회
gyrus,뇌회
gnocchi,뇨키
canaliculus,누관
fistulous,누관의
mor,누구나 좋아하는 음악
freeforall,누구나 참가할 수 있는
quivive,누구야!
somebody,누군가
abate,누그러뜨리다
allay,누그러뜨리다
mitigate,누그러뜨리다
soothingly,누그러지게 하여
inappeasable,누그러지게 할수 없는
assuasive,누그러지게하는
unmitigated,누그러지지 않는
unrelieved,누그러지지 않은
chastened,누그러진
remission,누그러짐
soggy,누기 있는
adventurer,누기가
gatehouse,누대
threadbare,누더기를 걸친
ragamuffin,누더기를 걸친 더러운 사람
tatterdemalion,누더기를 걸친 사람
dud,누더기옷
raggedy,누더기의
botchy,누덕누덕 기운
patchy,누덕누덕 기운
titsandass,누드 사진의
nudie,누드를 다룬
nudist,누디스트
peasouper,누런 짙은 안개
etiolate,누렇게 뜨게 하다
barm,누룩
leaven,누룩
barmy,누룩든
selfsealing,누르기만 하면 봉해지는
selfstick,누르기만 하면 붙는
falvescent,누르스름해지는
woodcock,누른도요
netizens,누리꾼
imputation,누명
numidia,누미디아
numidian,누미디아 사람
bulwark,누벽
ramparts,누벽
quilt,누비 이불
quilted,누비 이불의
quilting,누비 이불의 재료
nubia,누비다
nubian,누비아 말
accumulator,누산기
leakage,누설
baseman,누수
caulking,누수 방지
hydrostat,누수검출기
involution,누승법
nouakchott,누악쇼트
silkworm,누에
bombycid,누에 나방의 일종
sericultural,누에치는 사람
bedridden,누워만 있는
asprawl,누워서
couch,누이다
raunch,누추
squalid,누추
eccrine,누출 분비의
coypu,누트리아
nootka,누트카 말
moist,눅눅하다
eyelevel,눈 높이
sightless,눈 먼
eyed,눈 모양의 얼룩이 있는
superciliary,눈 위의
snowshovel,눈 치는 가래
unblinking,눈 하나 깜짝 않는
winkedat,눈감아준
niveous,눈같은
snowwhite,눈같이 흰
oculonasal,눈과 코의
graduated,눈금을 새긴
calibrate,눈금을 정하다
scalar,눈금의 수치로 나타낼 수 있는
eyecatching,눈길을 끄는
blinkard,눈깜작이
eyewink,눈깜짝임
sloeeyed,눈꼬리가 올라간
crowfooted,눈꼬리에 주름살이 잡힌
snowdrop,눈꽃
snowbreak,눈녹음
snowband,눈더미
snowbank,눈더미
drifty,눈더미의
snowpack,눈덩이로 뒤덮인 들판
fascinate,눈독들이다
weever,눈동미류의 식용어
pupilary,눈동자의
pupillary,눈동자의
elope,눈맞아달아나다
doveeyed,눈매가 부드러운
tendereyed,눈매가 부드러운
cecity,눈멂
misty,눈물 어린
tearful,눈물 어린
tearless,눈물 없는
weepy,눈물 잘 흘리는
maudlin,눈물 잘 흘림
bedew,눈물 흘리다
blubber,눈물로 얼룩지게하다
tearstained,눈물로얼룩진
teardrop,눈물방울
unwet,눈물에 젖지 않은
drippy,눈물을 강요하는
sob,눈물을 자아내는
lachrymose,눈물을 잘 흘리는
tearjerker,눈물을 짜게 하는 영화
novelettish,눈물을 짜내는 식의
lachrymation,눈물을 흘리고 옴
snowball,눈뭉치
snowflakes,눈발
snowfield,눈밭
flurry,눈보라
snowstorm,눈보라
adazzle,눈부시게
fulgent,눈부시게 빛나는
resplendent,눈부시게빛나는
eyeservice,눈비음
eyebeam,눈빛의 번득임
lynxeyed,눈빛이 날카로운
snowman,눈사람
avalanche,눈사태
snowslide,눈사태
snowshed,눈사태 방지 설비
frown,눈살을 찌푸려서 하게 하다
gatherd,눈살을 찌푸린
filldike,눈석임
nival,눈속에서 자라는
snowflake,눈송이
beetlbrowed,눈썹이 굵은
eyeball,눈알
blackeyed,눈언저리가 퍼런
snowbound,눈에 갇힌
sandfly,눈에 놀이
snowclad,눈에 덮인
markedly,눈에 띄게
noticeably,눈에 띄게
observably,눈에 띄게
outstandingly,눈에 띄게
glaring,눈에 띄는
inconspicuous,눈에 띄지 않는
unimposing,눈에 띄지 않는
insensibly,눈에 띄지 않을 정도로
sensibly,눈에 띌 정도로
visibly,눈에 보이게
visualize,눈에 보이게 하다
insensible,눈에 보이지 않을 정도의
invisibility,눈에 보이지 않음
invisibly,눈에 안보이게몰래
conspicuous,눈에 잘 띄는
nocolor,눈에 잘 안띄는 중간색의
dulleyed,눈에 총기가 없는
youngeyed,눈에 총기가 있는
eyesore,눈에거슬리는것
notedly,눈에띄게
snowcapped,눈으로 덮힌
ocular,눈으로 본
gazehound,눈으로 짐승을 쫓는 사냥개
nictate,눈을 깜박거리다
unwinking,눈을 깜박거리지 않는
drooping,눈을 내리깐
downcast,눈을 내리뜬
blinding,눈을 멀게 하는
goggle,눈을 부릅뜨고 보다
saucereyed,눈을 부릅뜬
illusive,눈을 속이는
whiteout,눈의 난반사로 백일색이 되어 방향감각이 없어지는 극지 대기 현상
canthus,눈의 양끝
eyestrain,눈의피로
sliteyed,눈이 가는
blindfoled,눈이 가려진
hawkeyed,눈이 날카로운
snowiness,눈이 많음
eloper,눈이 맞아 달아나는 사람
viewless,눈이 보이지 않는
dazedly,눈이 부셔
daze,눈이 부시게 하다
dazzle,눈이 부시다
wildeyed,눈이 분노로 이글이글 타는
fireeyed,눈이 빛나는
quicksighted,눈이 빠른
snowy,눈이 오는
flaming,눈이 이글이글 빛난는
bleareyed,눈이 잘 보이지 않는
walleye,눈이 큰 물고기
lobstereyed,눈이 튀어나온
popeyed,눈이 휘둥그래진
bleary,눈이 흐린
meltwater,눈이나 얼음이 녹은 물
birdeyed,눈이날카로운
eyestalk,눈자루
graft,눈접
quickeyed,눈치빠르다
crushable,눌러 부술수 있는
smother,눌러 참다
gland,눌림쇠
disfluency,눌변
nonfluency,눌변
ineloquent,눌변의
nynorsk,뉘노르스크
nuremberg,뉘른베르크
nuance,뉘앙스
shrive,뉘우치다
unrepentant,뉘우치지 않는
contrition,뉘우침
neuristor,뉴리스터
newmarket,뉴마켓
newmoneay,뉴머니
newburgh,뉴버그풍의
postscript,뉴스 방송후의 해설
topical,뉴스 영화
newsroom,뉴스 편집실
newsless,뉴스가 없는
newsy,뉴스가많은
newsmaker,뉴스가치가 있는 사건
newscast,뉴스를 방송하다
newscasting,뉴스방송
photojournalism,뉴스사진
newsreel,뉴스영화
newark,뉴어크
knickerbocker,뉴욕 사람
manhattan,뉴욕 시내의 섬
gothamite,뉴욕 시민
bronx,뉴욕시 북부의 독립구의 하나
brooklyn,뉴욕시독립구의하나
broadway,뉴욕시의남북으로뻗은번화가
hudson,뉴욕주를 흐르는 강
newcastli,뉴캐슬
nuclease,뉴클레아제
nucleosome,뉴클레오솜
nucleotide,뉴클레오티드
newton,뉴턴
newfoundland,뉴펀들랜드
newhigte,뉴헤어본
mollify,느그러지게하다
relaxant,느긋하게하는
insusceptible,느끼지 않는
unfelt,느끼지 않은
appreciable,느낄 수 있을 정도의
offputting,느낌이 나쁜
unfeeling,느낌이 없는
augmentative,느는
abrupt,느닷없는
masterly,느란하게
dully,느럭느럭
elmy,느릅 나무가 많은
dilatorily,느리게
ambler,느리게 걷는 사람
slowmoving,느리게 움직이는
drawling,느리게 질질 끄는
retardative,느리게 하는
tub,느리고 모양 없는 매
boeotian,느리광이
footdraggng,느림
dawdler,느림보
laggard,느림보
tortoise,느림보
nebuchadnezzar,느부갓네살신 바빌로니아 왕(605-56
unbrace,느슨하게 하다
lax,느슨한
floppy,느슨한
loosebodied,느슨한
slacks,느슨함
laxation,느슨해짐
wattled,느어진 살이 있는
noisette,느와제트
loosened,느즈러지다
nehemiah,느헤미야느헤미야서
intercostal,늑간의
ululate,늑대처럼 짖다
pleura,늑막
pleurisy,늑막염
ribbing,늑상조직
tantivy,는 소리
backyard,늘 가는 곳
kvetch,늘 불평만 하다
grumbling,늘 쑤시고 아픈
alyo,늘 정해진 일
increaser,늘리는 사람
protractile,늘어나는
stretchy,늘어나는
sticking,늘어붙는
pendulous,늘어진
lopear,늘어진 귀
flapeared,늘어진 귀의
lopeared,늘어진 귀의
habitue,늘오는손님
extender,늘이는 사람
prolong,늘이다
pendant,늘임 장식
fermata,늘임표
accustom,늘하는식의
geezer,늙다리
doty,늙어빠진
agedness,늙음
gallant,늠름하다
manly,늠름하다
decibel,늠향 측정 단위
mausoleum,능
outachieve,능가하다
outrival,능가하다
florentine,능견의 일종
smirk,능글맞은 움음
broche,능라
brocaded,능라의
stagemanage,능란하게지시하다
accomplished,능란한
rhombohedron,능면체
gab,능변
fluent,능변의
honeytongued,능변의
bastion,능보
bastioned,능보를 갖춘
bignonia,능소화
jacaranda,능소화과의 수목
proficient,능수
don,능수꾼
deft,능숙한
workmanlike,능숙한
calamine,능아연광
bustard,능에
damask,능직
twill,능직
twilled,능직으로 짠
siderite,능철광
dissemblance,능청
facilely,능히
serotinal,늦되는
behindhand,늦어
backwardly,늦어져
afterthought,늦은생각
brunch,늦은조반
liein,늦잠
unfasten,늦추다
defer,늦추다
unfixed,늦추어진
unrelaxed,늦춰지지 않은
incisors,니
negus,니거스술
fennelflower,니겔
negro,니그로
negroni,니그로니
nineveh,니네베
ninevite,니네베 사람
nibelungenlied,니벨룽겐의 노래
elemi,니스 등에 쓰임
niamey,니아메
nyasaland,니아실랜드
nialamide,니알라미드
niobium,니오브
niger,니제르
nietzscheism,니체 철학
nietzschean,니체 철학자
nicaragua,니카라과
nicaraguan,니카라과 사람
nicaea,니케아
nicene,니케아의
nicosia,니코시아
nicotine,니코틴
nicotinism,니코틴 중독
niacin,니코틴산
nicotinicacid,니코틴산
nicotinamide,니코틴아미드
nicotinize,니코틴으로 중독시키다
denicotinize,니코틴을 없애다
nichrome,니크롬
niton,니톤
nit,니트
knitwear,니트 웨어
nitro,니트로
nitrobenzene,니트로 벤젠
nitrotoluene,니트로 톨루엔
nitrogenase,니트로게나아제
nitroglycerin,니트로글리세린
nitrosamine,니트로사민
nitrocellulose,니트로셀룰로오스
nitrochalk,니트로초크
nbr,니트릴부다디엔 러버
nitinol,니티놀
nipa,니파술
nippy,니피
nihilist,니힐리스트
nixonomics,닉슨식 경제정책
nilgai,닐가이
nielsenrating,닐슨 시청률
nymphlike,님프같은
nymphean,님프의
outwear,다 써버리다
spent,다 써버린
wornout,다 써버린
unexpendable,다 써버릴 수 없는
wasteless,다 쓸 수 없는
polygyny,다 암꽃술
moribund,다 죽어 가는
inconsumable,다 테어버릴수 없는
manyvalued,다가
polyvalent,다가
sidle,다가들다
snuggle,다가붙다
multilateral,다각적
polygon,다각형
diversification,다각화
cocoa,다갈색
impressibility,다감
impressible,다감한
polycarpic,다결실의
polycrystaline,다결정의
polyphyly,다계통
polyphyletic,다계통 발생의
porosity,다공성
porous,다공질
vesicular,다공질
multinational,다국적
spurred,다그쳐진
multipolar,다극의
danang,다낭
perennial,다년생의
danubian,다뉴브강의
versatility,다능
daniel,다니엘서
dadaist,다다이스트
dadaism,다다이즘
peppergrass,다닥 냉이류 식물
staging,다단식
multistage,다단식의
menstrual,다달의
polysaccharide,다당류
pat,다독거리다
polycentric,다동원체의
manyheaded,다두의
polybasic,다두정치
furbish,다듬어 연마하다
pompadour,다듬어 올린 머리
unimproved,다듬지 않은
knobbing,다듬질
skimpy,다라운
lowliness,다라움
squirrel,다람쥐
chipmunk,다람쥐
ayeaye,다람쥐원숭이
tuna,다랑어
sty,다래끼
stye,다래끼
dalian,다렌
yare,다루기 쉬운
docility,다루기 쉬움
manageability,다루기 쉬움
coltish,다루기 어려운
stubborn,다루기 어려운
hardmouthed,다루기 힘드는
fractious,다루기 힘든
rebellious,다루기 힘든
touchy,다루기 힘든
unmanageable,다루기 힘든
unwieldy,다루기 힘든
handfull,다루기 힘든 사람
cantankerous,다루기힘드는
bulky,다루기힘든
rambunctious,다룰 수 없는
manipulable,다룰 수 있는
dardanelles,다르다넬스 해협
darvon,다르본
underquote,다른 가게보다 싸게 팔다
transvalue,다른 가치 기준으로 평가하다
nonidentical,다른 같지 않은2란성의
distinguishing,다른 것과 구별되는
clad,다른 금속을 입히다
bacheloratarms,다른 기사를 섬기는 젊은 기사
borrowed,다른 데서 따온
anotherguess,다른 모양의
heteronomous,다른 발달 법칙에 따르는
transship,다른 배로 옮기다
selfexecuting,다른 법령을 기다리지 않고 즉시 시행되는
intercalation,다른 암질층 사이에 낀층
obduct,다른 암판위로 밀어올리다
intercommunion,다른 종파 교도간의 성찬식
outofstate,다른 주의
grangerism,다른 책 그림을 오려 책에 따붙이기
intercalary,다른 층사이의
facultative,다른 환경에서도 살수 있는
uncreated,다른것에 의해 창조된 것이 아닌
reroute,다른길로 수송하다
reposition,다른장소로 옮기다
repot,다른화분에 옮기다
unlikeness,다름
dari,다리 말
cispontine,다리 이쪽의
underpinning,다리,
leggy,다리가 가늘고 긴
spindlelegged,다리가 가늘고 긴
longlegged,다리가 긴
daddylonglers,다리가 긴 사람
highboy,다리가 높은 옷장
tallboy,다리가 높은 장롱
twolegged,다리가 둘인
redleg,다리가 빨간 새
ducklegged,다리가 짧은
cob,다리를 높이 쳐드는 말
bridgebuilder,다리를 놓는 사람
hobble,다리를 묶다
straddle,다리를 벌리고 걷다
legroom,다리를 뻗는공간
dotty,다리를저는
caster,다리바퀴
fullfashioned,다리에 꼭 맞게 짠
bridgetunnel,다리와 터널이 이어지는 도로
darius,다리우스 왕
roughdry,다리지 않고 말리다
becket,다림줄
ironing,다림질
noniron,다림질이 필요없는
sleeveboard,다림질판
launder,다림질하다
damascus,다마스쿠프
damascene,다마스크 세공
busyness,다망
polyhedron,다면체
polyhedral,다면체의
polynomial,다명
trichosis,다모 증
polychaete,다모류 동물의
sappanwood,다목
multiracialism,다민족 공존
multiracial,다민족의
commonplace,다반사
fardel,다발
sheaf,다발
penicillate,다발털 모양의
sided,다방면
loquacity,다변
gabbing,다변
verbosity,다변
manysided,다변의
staunchly,다부지게
determinedly,다부지게
wormwood,다북쑥속의 식물
eventfulness,다사다난
eventful,다사다난
fecundity,다산
fertility,다산
productiveness,다산
reprocuctivity,다산성
fruitfully,다산으로
fecund,다산의
luxuriant,다산의
prolific,다산의
teeming,다산의
fruitful,다산인
polyphase,다상의
chromolithographer,다색 석판 인쇄자
chromolithography,다색 석판술
chromolithograph,다색 석판의
stenochromy,다색 인쇄법
polychromy,다색 장식
polychrome,다색도 인쇄
pleochroic,다색성
multicolored,다색의
polychromatic,다색의
quincunx,다섯 눈 모양
quincuncial,다섯 눈 모양의
quintus,다섯 번째의
fivefinger,다섯 손가락의
cinque,다섯끗
cinq,다섯끗
pent,다섯의 뜻의 결합사
polyphony,다성곡
obedient,다소 곳하다
majoritarian,다수결주의
bolsheviki,다수파
multiscreen,다수화면
governable,다스릴 수 있는
reprocess,다시 가공하다
recross,다시 가로지르다
reheat,다시 가열하다
reenter,다시 가입하다
reawaken,다시 각성시키다
rewind,다시 감다
refortify,다시 강화하다
recrystallize,다시 결정시키다
regrade,다시 경사지게 하다
recalculate,다시 계산하다
refurnish,다시 공급하다
republish,다시 공포하다
backslide,다시 과오에 빠지다
reimpose,다시 과하다
reframe,다시 구성하다
redraw,다시 긋다
reaffirm,다시 긍정하다
rekindle,다시 기운이 나다
twicelaid,다시 꼰
reforest,다시 나무를 심다
relapse,다시 나쁜길에 빠지다
reemerge,다시 나타나다
resurge,다시 나타나다
resettle,다시 낙착시키다
restamp,다시 날인하다
readmit,다시 넣다
rerecord,다시 녹음하다
rehandle,다시 다루다
refurbish,다시 닦다
warmedover,다시 데운
regild,다시 도금하다
recrudesce,다시 도지다
rehear,다시 듣다
reentrant,다시 들어가는
recalesce,다시 뜨거워 지다
retelling,다시 만든 이야기
recomposition,다시 만듦
rehash,다시 만듦
readdress,다시 말을 걸다
retaste,다시 맛보다
rechristen,다시 명명하다
regroup,다시 모이다
reinter,다시 묻다
recolor,다시 물들이다
reflow,다시 밀어 닥치다
reclosable,다시 밀폐시킬 수 있는
reecho,다시 반향하다
reignite,다시 발화하다
relume,다시 밝게하다
reproof,다시 방수가공하다
rearrange,다시 배열하다
relearn,다시 배우다
recommit,다시 범하다
reenact,다시 법률로 정하다
reincorporate,다시 법인으로 만들다
remonetize,다시 법정 화폐로 통용시키다
resend,다시 보내다
resieze,다시 붙잡다
relet,다시 빌려주는 주거
sublet,다시 빌려주다
reapply,다시 사용하다
reuse,다시 사용하다
reconsider,다시 생각하다
rescale,다시 설계하다
restate,다시 성명하다
renumber,다시 세다
rebaptize,다시 세례하다
reintroduce,다시 소개하다
revoice,다시 소리로 내다
reconvene,다시 소집하다
redigest,다시 소화하다
resummon,다시 소환하다
rejigger,다시 손보는 사람
repossess,다시 손에 넣다
resurface,다시 수면에 떠오르다
rehydrate,다시 수화하다
readjust,다시 순응하다
resumptive,다시 시작하는
recommence,다시 시작하다
renewable,다시 시작할 수 있는
resumable,다시 시작할 수있는
recolonize,다시 식민하다
replantation,다시 심기
regerminate,다시 싹트다
resaddle,다시 안장을 얹다
reseat,다시 앉히다
reassign,다시 양도하다
readopt,다시 양자로 삼다
repiece,다시 엮어 맞추다
recombine,다시 연결하다
reopen,다시 열다
remake,다시 영화화하다
revaccinate,다시 예방 접종하다
reascend,다시 오르다
reclothe,다시 옷을 입히다
reintegrate,다시 완전하게 하다
resoluble,다시 용해 할 수 있는
reincarnate,다시 육체를 부여 받은
remigrate,다시 이동하다
replant,다시 이식하다
reutilize,다시 이용하다
reassume,다시 인수하다
recite,다시 인용하다
recurrence,다시 일어남
rebound,다시 일어서다
reperuse,다시 읽다
reread,다시 읽다
reappoint,다시 임명하다
reinvest,다시 임명하다
reenlist,다시 입대시키다
retake,다시 잡다
reconvert,다시 전환하다
rejuvenesce,다시 젊어지게 하다
rejuvenescent,다시 젊어지는
rejuvenate,다시 젊어지다
rejuvenation,다시 젊어짐
rejuvenescence,다시 젊어짐
reorder,다시 정리하다
reconquer,다시 정복하다
reoffer,다시 제출하다
repass,다시 제출하여 통과시키다
refforest,다시 조림하다
remint,다시 주조하다
recriminalize,다시 중요 범죄로 취급하다
renominate,다시 지명하다
reload,다시 짐을 싣다
refill,다시 차다
restart,다시 착수하다
respell,다시 철자하다
reshuffle,다시 치다
repaint,다시 칠하기
reembark,다시 탑재하다
transmigrate,다시 태어나다
reunify,다시 통일시키다
resalable,다시 팔리는
resale,다시 팖
reflate,다시 팽창시키다
newmodel,다시 편성하다
reappraise,다시 평가하다
repave,다시 포장하다
relabel,다시 표를 붙이다
reflorescent,다시 피는
reflorescence,다시 핌
replay,다시 하다
restudy,다시 학습하다
reassess,다시 할당하다
rejoin,다시 함께 되다
retry,다시 해 보다
reinterpret,다시 해석하다
recommittal,다시 행함
reembody,다시 형성하다
requicken,다시 활기를 띠게하다
regorge,다시 흘러나오다
resorbent,다시 흡수하는
resorb,다시 흡수하다
reissue,다시나오다
rebind,다시묶다
reman,다시병력을 배치하다
repurchase,다시사다
revivify,다시살아나게 하다
rejig,다시손봄
redemand,다시요구하다
recur,다시일어나다
recapture,다시체포하다
dashiki,다시키
transmigratory,다시태어나는
resell,다시팔다
redo,다시하다
regrant,다시허가하다
polyphagia,다식증
polyphagous,다식증의
pantheism,다신교
polytheism,다신교
polytheist,다신론자
reprocuctive,다신의
refectory,다실
polygynous,다암술의
wad,다액의 돈
dayak,다야크 말
multiplex,다양의
diversely,다양하게
diversify,다양하게하다
heterophile,다염성의
versatile,다예한
dahomey,다오메이
generalpurpose,다용도의
downlink,다운링크송신
downswing,다운스윙
downfield,다운필드
polygenesis,다원 발생
polygenetic,다원 발생의
polygene,다원 유전자
pluralism,다원론
pluralistic,다원론의
pluralist,다원론자
multivalent,다원자가의
darwin,다윈
darwinism,다윈설
darwinian,다윈설의
david,다윗
succlence,다육
drupaceous,다육과의
succulent,다육의
fleshy,다육질의
overleaf,다음 페이지에
polyphonous,다음 합성의
undermentioned,다음에 말하는
posteriority,다음임
polyphone,다음자
polysyllable,다음절어
polysyllablic,다음절의
ambiguiy,다의
equivocality,다의성
polysemy,다의성
polysemous,다의의
dynamically,다이내믹하게
dynamitard,다이너마이트 사용자
dynamiter,다이너마이트 사용자
dynamite,다이너마이트로 폭발하다
dynamitic,다이너마이트적인
dynamo,다이너모
daedalus,다이달로스
daedalian,다이달로스의 솜씨같은
diving,다이빙
diamonds,다이아몬드
diamondfield,다이아몬드 채굴지
diamondiferous,다이아몬드가 있는
borazon,다이아몬드보다 귿은 질화붕소의 결정체
diazepam,다이아제팜
diazotype,다이아조타이프
diazine,다이아진
diametics,다이어네틱스
dial,다이얼
tuneful,다이얼을 딴데로 돌리다
dioxin,다이옥신
diein,다이인
digester,다이제스트 기자
daiquiri,다이커리
dihydrostreptomycin,다이하이드로 스트렙토마이신
dyne,다인
dilantin,다일랜틴
dilatancy,다일레이턴시
dilatant,다일레이턴시의
fictioneer,다작하는 작가
tenderness,다정
genial,다정한
pun,다져서 굳히다
polytonality,다조성
myriapod,다족류의
polysynthesism,다종합
hypostyle,다주식의
polystyle,다주식의
polycentrism,다중심주의
multiprocessing,다중처리
succose,다즙의
dodge,다지
polydactyl,다지동물
darjeeling,다질링
colorful,다채로운
colory,다채로운
variegated,다채로운
darts,다츠
unhurt,다치지 않은
unscathed,다치지않은
dacca,다카
dakar,다카르
ducat,다컷 금화
dacoity,다코이트의 약탈
dakota,다코타
mirv,다탄두 각개 록표 재돌입 미사일
multiheaded,다탄두의
vying,다투는
incontrovertible,다툴 나위 없는
undeniable,다툴 여지가 없는
undeniably,다툴 여지가 없의 정도로
contestable,다툴수 있는
eris,다툼과불화의여신
dartmouth,다트머스
dartmoor,다트쿠어 형무소
dartboard,다트판
daphnis,다프니스
hidrosis,다한증
exhaustible,다할 수 있는
exhauxtibility,다할 수 있는 가능성
multinomial,다항식
coenocyte,다핵세포
euphoriant,다행중의
repletion,다혈증
cheerfulness,다혈질
sanguineous,다혈질의
polymorph,다형
polymorphism,다형
syncarp,다화과
dachshund,닥스훈트
overhang,닥쳐서 불안케 하다
pothunter,닥치는 대로 쏘는 사냥꾼
wildcatter,닥치는 대로 채굴하는 투기사
trasher,닥치는 대로 파괴 행위를 하는 사람
burnisher,닦는사람
brightwork,닦아서 반짝반짝하는 쇠붙이
brushup,닦음
holystone,닦음돌
unpolished,닦지 않은
stairs,단
sweetie,단 과자
columniation,단 구획
univalve,단각 연체 동물
amphipod,단각목의
sprint,단거리 경주
shoran,단거리 무선 항법 장치
sprinter,단거리 선수
rtol,단거리 이착륙기
stol,단거리 이착륙기
cutlass,단검
daggar,단검
obelisk,단검표
obelize,단검표를 붙이다
cohesion,단결
solidify,단결시키다
uniaxial,단경의
gradational,단계적
monotrematous,단공류의
monotreme,단공류의 동물
spectroheliogram,단광 태양 사진
spectrohelioscope,단광 태양경
spectroheligraph,단광 태양사진기
micrococcus,단구균
tangun,단군
autotransformer,단권 변압기
monorail,단궤철도
unipolar,단극의
ephemeralization,단기 소모 상품 제조
gyppo,단기 작업
gypo,단기 작업
transient,단기 체류의
sortie,단기 출격
exeat,단기 휴가
shortrange,단기간의
dannunzio,단눈치오
anapest,단단장격
hardboil,단단하게 삶다
hardboiled,단단하게 삶은
tightknit,단단하게 조립된
hardspun,단단하게 지은
stiffness,단단함
colonel,단당
bordering,단대기
nary,단도 없는
straightfromtheshoulder,단도 직입적인
chiv,단도로 찌르다
shadowboxing,단독연습
singleacting,단동식의
singleaction,단동식의
brachycephalic,단두
brachycephaly,단두
monomer,단량체
inurement,단련
untempered,단련되지 않은
chasten,단련시키다
inure,단련하다
logoff,단말의 사용을 종료하는 기계 조작의 절차
tarragona,단맛이 도는 포도주
brut,단맛이 없는
ephemerality,단명
shortlived,단명의
ephemeral,단명한
monophthong,단모음
honeydew,단물
suedehead,단발족
singleloader,단발총
albuminuria,단백뇨
proteinuria,단백뇨
opal,단백석
opaline,단백석의
albuminous,단백성의
albumenize,단백으로 처리하다
albumen,단백질
floorer,단번에 기둥을 모두 넘어뜨리도록 던지기
vaulting,단번에 띄는
monometallism,단본위제
dromedary,단봉낙타
monocline,단사
monoclinic,단사정계의
glomerule,단산화서
singlephase,단상인
monochrome,단색
autotypography,단색 사진판법
unicolor,단색인
breaking,단선
monophonic,단선율의
singletrack,단선의
onetrack,단선인
unilinear,단선적인
monohull,단선체선
fiber,단섬유
parthenogenesis,단성 생색
agamospermy,단성 생식
monogenesis,단성 생식
unisexual,단성의
clampdown,단속
crackdown,단속
intermittence,단속
ruptor,단속기
catchy,단속적인
fitful,단속적인
intermittent,단속적인
snatchy,단속적인
singular,단수
leveling,단순화
holusbolus,단숨에
sitting,단숨에
quaff,단숨에 들이켜다
chugalug,단숨에 들이키다
touchdown,단시간의 착륙
henotheism,단신교
singlebarrel,단신총
monocle,단안경
monolith,단암
monolithic,단암의
vocabulary,단어집
dictum,단언
predication,단언
affirmatively,단언적으로
categorically,단언적으로
categorical,단언적인
declarative,단언적인
roundly,단연
diachylon,단연경고
adiabatic,단열
weatherize,단열효과를 높이다
monoplane,단엽 비행기
hydromonoplane,단엽 수상기
unifoliate,단엽의
unicameral,단원제의
unitage,단위량
tiered,단을 이룬
monotony,단음
homophony,단음적 가곡
staccato,단음적으로
monosyllable,단음절어
simplification,단일
singleness,단일
oneness,단일성
uniterm,단일어
monad,단자
monadism,단자론
monoculture,단작
severance,단절
singletongue,단절법으로 연주하다
soliped,단제의
monotone,단조
platitude,단조
hammerman,단조공
clocklike,단조로운
humdrum,단조로운
monotonous,단조로운
drone,단조로운 소리로 말하다
univocal,단조로운 음성으로 말하는
hame,단조로운 일
monopitch,단조로움
flatly,단조롭게
singsong,단조롭게 노래하다
cuckoo,단조롭게 되풀이 하다
flatten,단조롭게 하다
drudgery,단조롭고 고된 일
forging,단조품
unmalleable,단조할 수 없는
sterilization,단종
oddlotter,단주 구입자
compadre,단짝
spontoon,단창
unicuspid,단첨두의
collegiate,단체조직의
buttonhole,단추 구멍
buttony,단추가 많이 달린
buttonhook,단추걸이
boutonniere,단추구멍에꽂는꽃
buttonwood,단추나무
buttonon,단추로채우는단추식의
unbutton,단추를 끄르다
unbuttoned,단추를 끄른
buttonthrough,단추를채우는
abridgement,단축
shortening,단축
curtail,단축하다
dislocation,단충
slickenside,단충 거울면
danzig,단치히
dante,단테
dantean,단테 연구가
dantist,단테 연구가
dantesque,단테식의
radiothermy,단파 디아테르미
shortwave,단파의
snippet,단편
paragraphic,단편 기사의
paragraphical,단편 기사의
briefie,단편 영화
filmlet,단편 영화
featurette,단편 특작영화
historiette,단편소설
fragmentary,단편으로 이루어진
fragmentarily,단편으로서
fractional,단편의
fractionally,단편적으로
fractionary,단편적인
scrappy,단편적인
sycamore,단풍나무의 일종
waxbill,단풍새의 일종
monomial,단항식
monocyte,단핵
monocycle,단핵 백혈구
axedarach,단향목
setback,단형 물림
resolute,단호하다
decidedly,단호히
resolvedly,단호히
closer,닫는 것
fastening,닫음
canopy,닫집
canopied,닫집이 있는
lunarian,달 물리학자
extralunar,달 밖에 있는
moonwalk,달 산책
moonless,달 없는
moonflight,달 여행
lunarnaut,달 여행 우주비행사
moonship,달 여행용 우주선
selenocentric,달 중심의
lunilogical,달 지질 연구의
moonfall,달 착륙
rattly,달가닥거리는
clatter,달가닥달가닥
contented,달갑게 하는
satisfactory,달갑다
unwelcome,달갑지 않은
galere,달갑지않은
penthouse,달개 지붕
leanto,달개지붕
eggbeater,달걀 교반기
oval,달걀 모양의
ovate,달걀 모양의
olivary,달걀꼴의
sweeten,달게 하다
sweetenting,달게 함
edulcorate,달게하다
dory,달고기류
artemis,달과 수렵의 여신
punner,달구
caseharden,달구어 굳어진
oxcart,달구지
cartwright,달구지 목수
inspan,달구지를 메우다
tartar,달단사람
dalasi,달라시
tickytack,달라진 것 없는
dejavu,달라진 것이 없는
placable,달래기 쉬운
implacable,달래기 어려운
implacability,달래기 어려움
