unstained,더렵혀지지않은
goddam,망할
blanketyblank,망할 놈
punchdrunk,맞고 비틀비틀하는
cogwheel,맞물리는 톱니바퀴
headwind,맞바람
twopaycheck,맞벌이의
ogival,맞보의
backfire,맞불
grapple,맞붙어 싸우다
interfold,맞접다
fitter,맞추는사람
lipsync,맞추어 노래하기
collate,맞추어 보다
leftluggage,맡겨 둔 수하물
whippped,매 맞은
eyas,매 새끼
paginal,매 페이지의
vendition,매각
vendor,매각인
leaseback,매각차용
deaccession,매각하다
intermediary,매개
mediation,매개
middleman,매개자
vehicular,매개하다
warhawk,매과
betrayal,매국노
quisling,매국노
traitor,매국노
magnon,매그논
lubricious,매끄러운
catchlight,매끄러운 표면에서 비치는 반사광
lubricity,매끄러움
lubricant,매끄럽게 하는
softness,매끈하다
sleek,매끈하다
mannerism,매너리즘
manneristic,매너리즘의
cesarevitch,매년 에서 개최되는 경마
handler,매니저
manicure,매니큐어
manitoba,매니토바 주
unsling,매단 곳에서 풀다
pensile,매달려 늘어진
suspensory,매달아 두는
condemnation,매도
revile,매도
transference,매도
bargainor,매도인
transferrer,매도인
syphilis,매독
seronegativity,매독 반응 음성
syphilize,매독에 걸리게 하다
luetic,매독의
syphilology,매독학
charmer,매력 있는 사람
glamourboygirl,매력 있는 청년
glamorous,매력에 찬
unappealing,매력이 없는
gripping,매력있는
enchanter,매력있는 사람
magnetically,매력적으로
wantable,매력적인
nifty,매력적인 계집애
bobbydazzler,매력적인 아가씨
whipcrack,매를 철썩하고 때림
landfill,매립
empolder,매립하다
unbeaten,매맞지 않은
memorandum,매매각서
mammoth,매머드
megaversity,매머드 대학
heartless,매몰차다
cicada,매미
locust,매미
leafhopper,매미충
dovesfoot,매발톱꽃무리
barberry,매발톱나무
ambush,매복
divination,매복
stillhunt,매복시키다
brotherinlaw,매부
each,매사
falconry,매사냥
hawking,매사냥
massachusetts,매사추세츠
corruptibility,매수가능성
boodle,매수금
incorruptible,매수되지 않는
vendee,매수인
fixer,매수자
uncorruptible,매수하기 어려운
embraceor,매수하는 사람
bribable,매수할 수 있는
incorrupt,매수할수 없는
mediagenic,매스미디어 텔레비젼에 맞는
mediashy,매스컴 공포증의
admass,매스컴에 좌우되기 쉬운 일반대중
medialand,매스컴의 세계
massicot,매시콧일산화연으로 된 광물
baa,매애
bleat,매애
hairlike,매우 가는
gleeful,매우 기뻐하는
largo,매우 느린
deadsmooth,매우 매끄러운
obnoxiously,매우 불쾌하게
grinding,매우 아픈
imbecile,매우 어리석은
perfervid,매우 열심힌
delectable,매우 즐거운
boneweary,매우 지친
harassed,매우 지친몹시 시달린
highwater,매우 짧은
gelid,매우 차가운
gingery,매운
peppery,매운
pepperiness,매움
mensal,매월 의
cocotte,매음
whorehouse,매음굴
quotidian,매일 일어나는
nocturnally,매일밤
evenings,매일저녁
aboveground,매장되지 않은
sepulcher,매장소
mortuary,매장의
burier,매장자
stratfordonavon,매장지
inhumation,매장토장
inter,매장하다
graveless,매장할 수 없는
infauna,매재동물
aggradation,매적 작용
aggrade,매적 하다
hoarding,매점
stallage,매점권리
cornerer,매점자
cornerman,매점자
regrate,매점하다
hoard,매점하다
hoardingly,매점하여
savageiy,매정하게
hardfisted,매정한
snippety,매정한
brusquerie,매정함
loosely,매지않게
caning,매질
flogging,매질
thresh,매질하는 사람
drub,매질하다
flog,매질하다
prostitution,매춘
antiprostitution,매춘 금지의
antivice,매춘 반대의
mack,매춘 알선자
whore,매춘 행위를 하다
bagnio,매춘굴
canhouse,매춘굴
whoremaster,매춘굴 주인
floozy,매춘부
harlot,매춘부
procuration,매춘부 알선
whoremonger,매춘부와 노는 사람
whorish,매춘부의
mccarthyism,매카시주의
macroinstruction,매크로 명령
macrogol,매크로골
mckinley,매킨리
matted,매트를 깐
hawkism,매파적 경향
hawkish,매파적인
compradore,매판
captivation,매혹
enchantment,매혹
enamored,매혹된
enslaver,매혹시키는 사람
delude,매혹시키다
ensorcell,매혹시키다
mesmerise,매혹시키다
bewitchingly,매혹시키듯
alluring,매혹적인
captivating,매혹적인
enchanting,매혹적인
ravishing,매혹적인
comether,매혹적인 말투
becharm,매혹하다
ergot,맥각
nervation,맥계
vas,맥관
vasculitis,맥관염
angigiitis,맥관염
vascular,맥관의
vascularity,맥관질
angololgy,맥관학
mcdonalds,맥도널드
microseism,맥동
pulsebeat,맥동
pulsar,맥동성
pulsative,맥동하는
choroid,맥락막
contextualize,맥락화하다
pulsatile,맥박치는
elvan,맥반삭
crestfallen,맥빠진
watery,맥빠진
maxwell,맥스웰
neuropterous,맥시류의
maximin,맥시민
malt,맥아
wort,맥아즙
alegar,맥아초
sphygmomanometer,맥압계
flaccid,맥없는
flaccidity,맥없음
venous,맥이있는
beerage,맥주업계
beery,맥주의
burton,맥주의일종
pothouse,맥주집
bierkeller,맥주홀
mcluhanism,맥투언이론
backmost,맨 끝의
hindmost,맨 뒤의
lastmentioned,맨 마지막으로 든
foremost,맨 먼저
firstcomer,맨 먼저 오는 손님
lowermost,맨 밑바닥의
manx,맨 섬 사람
penetralia,맨 안쪽
firstfoot,맨 처음 만남 사람
rearmost,맨뒤의
mand,맨드
cockscomb,맨드라미
coxcomb,맨드라미
barefaced,맨말에
barehead,맨머리 바람으로
barefoot,맨발로
barefooted,맨발의
barehanded,맨손
forefront,맨앞
upfront,맨앞줄의
barefisted,맨주먹의
imprimis,맨처음에
primely,맨처음에
manhole,맨홀
malthusian,맬서스 주의의
malthusianism,맬서스주의
stridulate,맴맴울다
chic,맵시
jackadandy,맵시꾼
johnny,맵시꾼
dressy,맵시있게
accipiter,맹금
raptorial,맹금
virulent,맹독
fierceness,맹렬
rabidity,맹렬
smashing,맹렬하다
drastically,맹렬히
billyoh,맹모단기
fiercely,맹모단기
typhlology,맹목학
vowing,맹세
germination,맹아
covenanter,맹약자
blindfish,맹어
mencius,맹자
mengzi,맹자
cecum,맹장
typhlitis,맹장염
appendicitis,맹장염
caecitis,맹장염
stonk,맹폭격
mug,머그
eonsold,머나먼 옛날의
motherboard,머더보드
meringue,머랭
panelboard,머름
capitate,머리 모양의
hairpowder,머리 분
buzzwig,머리 숱이 많은 큰 가발
headdress,머리 스타일
headword,머리 쓰는 일
crimper,머리 아이언
hairdye,머리 염색제
headroom,머리 위의 공간
hairstyle,머리 형
blackcapped,머리가 검은
blackhead,머리가 검은 각종 새
longhair,머리가 긴 사람
androsphinx,머리가 남자인 스핑크스
bananas,머리가 돈
batty,머리가 돈
crackers,머리가 돈
screwy,머리가 돈
rumdum,머리가 돈 녀석
bonkers,머리가 돌아
doubleender,머리가 둘 있는것
hammerheaded,머리가 망치 모양인
heavyheaded,머리가 무거운
redheaded,머리가 붉은
funambulism,머리가 빨리 돌아감
stircrazy,머리가 살짝 돈
touched,머리가 약간 돈
cephalous,머리가 있는
teched,머리가 조금 돈
pixilated,머리가 좀 돈
flighty,머리가 좀 돈.
brightness,머리가 좋음
emptyheaded,머리가 텅빈
addlepated,머리가 혼돈된
headed,머리가-인
bicipital,머리가두개인
noll,머리꼭대기
hairraising,머리끝이 쭈뼛해지는
headband,머리띠
couchant,머리를 들고 웅크린 자세의
tressed,머리를 땋은
haeainthesand,머리를 모래에 처박은
overcheck,머리를 못 숙이게 하는 고삐
vail,머리를 숙이다
hamshackle,머리를 앞다리에 묶다
dehead,머리를 자르다
curler,머리를 지지는 사람
perk,머리를 쳐들다
prefatorial,머리말의
prefatory,머리말의
bedside,머리맡
ducktail,머리모양
hairbrush,머리솔
nob,머리에 가하는 일격
headphone,머리에 거는 수화기
anoint,머리에 기름으 부어 신성하게 하다
heady,머리에 오르는
headload,머리에 이는 짐
hairwash,머리염색액
impend,머리위에 걸리다
headboard,머리쪽 판자
barrette,머리핀
hairclip,머리핀
hairpin,머리핀
hairdo,머리형
cipher,머릿 글자를 짜 맞춘 글자
clownery,머릿광대짓
acronymize,머릿글자로 나타내다
acronymous,머릿글자의
hairoil,머릿기름
slickum,머릿기름
circlet,머릿장식
inhospitable,머무를 곳이 없는
blunder,머뭇머뭇하다
mercerization,머서법
mercerize,머서법으로 처리하다
muscatel,머스커텔
musket,머스켓 총
musketeer,머스켓총을 가진 병사
muskmelon,머스크멜론
mercia,머시아
mersey,머지 강
erelong,머지않아
macartney,머카트니꿩
mercurochrome,머큐로크롬
mercury,머큐리신
muffler,머플러
muffin,머핀
blacksnake,먹구렁이
handydandy,먹국
eating,먹기
dogeatdog,먹느냐 먹히느냐의
demolish,먹어치우다
mescal,먹으면 환각 증상을 일으킴
foodless,먹을 것이 없는
inedible,먹을 수 없는
edibility,먹을 수 있음
edible,먹을수있는
bait,먹이를 먹다
hagfish,먹장어
uneatable,먹지 못할
uneaten,먹지 않은
scriber,먹통
ruburb,먼 교외 거주자
roving,먼과녁쏘기
farseeing,먼눈이 밝은
preoption,먼저 선택할 권리
precedable,먼저 일어날 수 있는
dusttrap,먼지 제거 장치
dustproof,먼지가 안 묻는
littery,먼지로 더러워진
dustiness,먼지투성이
dustily,먼지투성이가 되어
dusty,먼지투성이의
absentmindedly,멀거니
glassyeyed,멀거니 바라보니
wishywashy,멀건
remotely,멀게
craw,멀떠구니
remotion,멀리 떨어져 있음
outlying,멀리 떨어진
timbuktu,멀리 떨어진 곳
alienate,멀리 하다
sharkbait,멀리 헤엄쳐 나가다
farreaching,멀리까지 미치는
longreach,멀리까지 세력이 미치는
estrange,멀리하다
refrain,멀리하다
merlin,멀린
bide,멀물다
travelsick,멀미의
hypocritical,멀쩡하다
stopper,멈추는
setscrew,멈춤 나사
detent,멈춤쇠
avast,멈춰
stopping,멈칫
foppish,멋 부리는
garble,멋대로 고치다
arrogate,멋대로 제것으로 하다
escapade,멋대로구는짓
parrotry,멋도 모르고 말을 흉내냄
corking,멋들어진
clipper,멋들어진것
dandify,멋부리게 하다
dandyish,멋부리는
adonize,멋부리다
dandified,멋부린
swellish,멋부린
dandification,멋부린 차림새
dandyism,멋부림
strutting,멋부림
inelegancy,멋없음
hulk,멋없이 큰배
tony,멋을 낸
dresser,멋쟁이
dandiacal,멋쟁이다운
swelldom,멋쟁이들
dudish,멋쟁이의
inelegant,멋적은
panoplied,멋지게 차려입은
biz,멋지다!
farout,멋진
dilly,멋진 것
smasher,멋진 사람
beaut,멋진것
loveliness,멋짐
pyrotechnics,멋짐
contuse,멍들게 하다
contusion,멍듦
blockhead,멍청이
boob,멍청이
dimwit,멍청이
dullard,멍청이
lardhead,멍청이
goof,멍청하게 만들다
fatwitted,멍청한
hebetude,멍청함
woozy,멍청해진
beanhead,멍텅구리
knothead,멍텅구리
nitwit,멍텅구리
tomfoolery,멍텅구리 짓
lumpish,멍텅구리의
oscitation,멍하고 있음
gapingly,멍하니
megadyne,메가다인.G.S. 단위계의 힘의 단위
megarad,메가래드
megabyte,메가바이트
megavolt,메가볼트
mev,메가볼트
megabit,메가비트
megawatt,메가완트
megatonnage,메가톤 수
megatrend,메가트렌드
megatron,메가트론 진공관
megaphone,메가폰
catfish,메기
sheatfish,메기의 일종
splaymouth,메기입
megillah,메길라가 수록된 유대의 두루마리책
megilp,메길프
bindweed,메꽃
convolvulus,메꽃
moonflower,메꽃과의 꽃
menelaus,메넬라오스
mennonite,메노파 신도
alacarte,메뉴 정가표에 따른
menudriven,메뉴에 따라 조작하는 구조의
medallist,메달 수집가
sling,메달아 올리다
medalled,메달을 받은
medallic,메달의
methamphetamine,메담페타민
meaea,메데아
medina,메디나사우디아라비아 서부의 도시
medea,메디아
medici,메디치가
grasshopper,메뚜기
orthoptera,메뚜기목
orthopteran,메뚜기목의
merengue,메렝게
merovingian,메로빙 왕조486 , 75
mercator,메르카토르
merluza,메를루사
merino,메리노나사
stockinet,메리야스
knitter,메리야스 직공
looper,메리야스의 코를 잡아 매는 기계 장치
delaine,메린스
parched,메마르다
infertile,메마른
impoverished,메마른
jotter,메모지
datebook,메모책
buckwheat,메밀
methodistic,메서디스트파의
mesopotamia,메소포타마아아시아 남서부 , Euphrates 두 강의 하류에 있었던 고대 왕국
scalpel,메스
disgusting,메스꺼운
qualmish,메스꺼운
revolting,메스꺼운
qualm,메스꺼움
retch,메스꺼움
queasily,메스껍게
mescaline,메스칼린
mestizo,메스티소
queasy,메슥거리기 잘하는
messiah,메시아
messenging,메시징
goldenrod,메역취속의 식물
padding,메우는 것
wadding,메우는 물건
moldedin,메워 넣어 성형된
maidstone,메이드스톤잉글랜드 동남부 주의 주도
macys,메이시스
maser,메이저
majorleaguer,메이저 리그의 선수
mezuzah,메이즈자
za,메이즈자
maeterlinck,메이터링크
choked,메인
mainsheet,메인시트
mailgram,메일그램
mesocyclone,메조사이클론
mezzosoprano,메조소프라노
pointing,메지 바르기
bobwhite,메추라기의일종
meaca,메카
kibla,메카 방향
hadj,메카 순례
haj,메카 순례
meccano,메카노세트강철 조립 세트의 장난감
hajji,메카순례를 마친 회교도
mackenzie,메켄지강
mekong,메콩강
methadone,메타돈
metasequoia,메타세쿼이어
methaqualone,메타콸론
metafiction,메타픽션
methane,메탄
paraffin,메탄계의 탄화 수소
methanol,메탄올
metheglin,메테글린
methedrine,메테드린
methotrexate,메토트렉사트
merope,메토프
methoxyflurane,메톡시플루란
metrazol,메트라졸
metronidazole,메트로니다졸
metroliner,메트로라이너
metrecal,메트리컬저칼로리의 대용 식품
metenkephalin,메트엔케팔린
metol,메틀사진 현상의 주요 약물
methicillin,메티실린
metier,메티에
methyl,메틸
methylmercury,메틸 수은
methyldopa,메틸도파
methylene,메틸렌
methylate,메틸을 섞다
methylic,메틸의
meperidine,메페리딘
mephistopheles,메피스토펠레스
mexico,멕시코
mendelian,멘델 학설 지지자
mendelism,멘델의 유전학설
menshevik,멘셰비키
menshevism,멘셰비키의 정책
menses,멘스
menthol,멘톨
menthene,멘틴
menhir,멘히르
melanesian,멜라네사아 말
melanesia,멜라네시아
melanin,멜라닌
melanize,멜라닌화하다
melamine,멜라민
melodramatic,멜로 드라마식의
melodramatist,멜로드라마 작가
melodramatize,멜로드라마식으로 하다
hammy,멜로드라마식의
melodramatics,멜로드라마적 언동
melodeon,멜로디온
melodica,멜로디카
mellotron,멜로트론
melon,멜론
bombe,멜론에 수종의 아이스크림을 넣어 얼린 식후용 과자
cantaloupe,멜론의 일종
melinite,멜리나이트
melittin,멜리틴
melilite,멜릴라이트
melbourne,멜버른
suspenders,멜빵
melton,멜턴 나사
melopomene,멜포메네
memnon,멤논
apis,멤피스에서 숭배된 성스러운 소
tussah,멧누에
boar,멧돼지
boarhound,멧돼지 사냥용의 큰 개
babirusa,멧돼지의 일종
yellowhammer,멧새의 일종
ortolan,멧세류
mengovirus,멩고바이러스
calcar,며느리발톱
spur,며느리발톱
bathing,멱감기수영복 차림의 미인
idemportent,멱등원
sateen,면 숫자
swansdown,면 플란넬의 일종
longsighted,면데 것을 볼 수 있는
razor,면도기
razoredge,면도날
shiv,면도날
hone,면도날 숫돌
unshaved,면도하지 않은
mithridatize,면독성을 기르다
endlessness,면면
imago,면모
linseywoolsey,면모교직물
tomentose,면모로 덮인
tomentous,면모로 덮인
disgracefully,면목 없게
ignominious,면목없는
inglorious,면목없는
ignominy,면목없음
narrowness,면밀
scrupulosity,면밀성
elaborately,면밀하게
indepth,면밀한
preplan,면밀히 계획을 세우다
cardindex,면밀히 분석하다
acquaintance,면식
cottonocracy,면업왕국
immunization,면역
immunosuppressive,면역
immunobiology,면역 생물학
immunodeficiency,면역결여
immunocompetence,면역능력
immunoprotein,면역단백질
immunoreactive,면역반응성의
immunity,면역성
immunocyte,면역세포
immunocytochemistry,면역세포화학
immunize,면역시키다
immunosuppression,면역억제
immunotherapy,면역요법
immunogen,면역원
immunology,면역학
immunochemistry,면역화학
immunochemist,면역화학자
faceless,면이 닳아 없어진
areal,면적의
referral,면접 후 구직자를 구인처에 보내기
acquittance,면제
exemption,면제
exempt,면제된
forgiver,면제자
acquit,면제하다
remissible,면제할 수 있는
absolution,면죄
neckverse,면죄시
pastedown,면지의 바깥장
demission,면직
removable,면직할 수 있는
removability,면직할 수 있음
indemnification,면책
indemnity,면책
compurgation,면책선서
compurgator,면책선서자
privileged,면책특권의
ineluctable,면치못할
faceplate,면판
byssinosis,면폐증
flannelette,면플란넬
inescapable,면할수 없는
irremissible,면할수 없는
riddance,면함
unlicensed,면허없는
diploma,면허장
recertification,면허장의 갱신
approbate,면허하다
guncotton,면화약
nitrocotton,면화약
pyroxylin,면화약
sterilant,멸균기
sterilizer,멸균자
downfall,멸망
perdition,멸망
fordo,멸망시키다
ruined,멸망한
attenuator,멸쇄기
endangered,멸종될 지경에 이른
mot,명구
oscine,명금류
photophase,명기
centaur,명기수
evacuation,명도
liveliness,명랑
mirth,명랑
merrily,명랑하게
sunshiny,명랑한
imperatival,명령법의
authoritative,명령적인
flashlight,명멸광
appellation,명명
christening,명명
naming,명명
glossology,명명법
nomenclature,명명법
denominate,명명하다
honorable,명목
nominalism,명목론
nominalist,명목론자
nominalistic,명목론적인
chrestomathy,명문집
stipulating,명문화
acumen,명민
discerning,명민한
perspicacious,명민한
agility,명민함
alum,명반
fenestra,명반
alunite,명반석
aluminous,명반의
incontestably,명백시
concededly,명백하게
unambiguous,명백한
unequivocal,명백한
obviosity,명백함
confessedly,명백히
evidently,명백히
expressly,명백히
roster,명부
infernal,명부의
celeb,명사
luminary,명사
terminism,명사론
deadeye,명사수
marksman,명사수
rifleshot,명사수
sharpshooter,명사수
meditative,명상적인
cardboard,명색뿐인
kudos,명성
spec,명세
showplace,명소
designation,명시
showing,명시
evincive,명시적인
goosefoot,명아주
lambsquarters,명아주류
decree,명영
honored,명예로운
honorably,명예롭게
brevet,명예진급
pluto,명왕성
longlived,명이 긴
inebriation,명정
inebriety,명정
campanology,명종술
nameplate,명찰
scutcheon,명찰
appellative,명칭
nomenclator,명칭일람
luculent,명쾌하다
holesm,명탐정
blithe,명항한
definiteness,명확
definitude,명확성
umpteenth,몇 번째인지 모를 정도의
membered,몇 부분으로 이루어진
incher,몇 인치의것
somethingth,몇째인가의
angulate,모가난
matrilineage,모계
matriliny,모계제
japonica,모과나무
biretta,모관
capillarity,모관 인력
motherland,모국
matriarchy,모권사회
smudge,모깃불
monaco,모나코
angularity,모남
monensin,모넨신
monaural,모노랄의
monobuoy,모노부이
monotype,모노타이프
cutaway,모닝코트
facelifting,모델 변경
blasphemy,모독
profanity,모독
sacrilege,모독
profane,모독의
blasphemer,모독자
blasphemous,모독적인
profanatory,모독적인
unhallow,모독하다
modularity,모듈 방식
moratorium,모라토리엄
broccoli,모란채
brocoli,모란채
sandbed,모래 바닥
chigoe,모래 벼룩
sandstorm,모래 폭풍
arenaceous,모래같은
sandbag,모래부대
sandbox,모래상자
sandglass,모래시계
dune,모래언덕
hurst,모래언덕
arenose,모래의
overslaugh,모래콥
reef,모래톱
sandbank,모래톱
morello,모렐로
sideways,모로
moroccan,모로코의
anvil,모루
stitchwort,모루
unconsciously,모르게
mormonism,모르몬교
mortar,모르타르
heroin,모르핀
morphine,모르핀
morrisdance,모리스춤
moreen,모린
seeding,모립 살포
whosit,모모
insurgence,모반
nevus,모반
nevoid,모반의
birthmark,모반점
insurgent,모반한
apery,모방
mock,모방
copier,모방자
copyist,모방자
imitative,모방적
metooism,모방주의
enlister,모병관
schemer,모사
strategist,모사
facsimile,모사
sedilia,모사석
moshav,모샤브
bussbar,모선
generatrix,모선
maternity,모성
moses,모세
capillary,모세관의
mosaic,모세의
dendrite,모수석
discrepancy,모순
incongruity,모순
inconsistency,모순
oxymoron,모순 어법
contradictory,모순대당
conflicting,모순되는
irreconcilable,모순되는
contradict,모순되다
contravene,모순되다
compatibly,모순없이
contrariety,모순점
moscow,모스크바
muslin,모슬린
zilch,모씨
moab,모압
insulting,모욕적인
opprobrious,모욕적인
affront,모욕하다
assonance,모운
assonant,모운의
grouping,모으는 일
askance,모으로
askew,모으로
intervocalic,모음간
ablaut,모음전환
hiatus,모음접속
furs,모의
moot,모의재판
hatblock,모자 골
hatbrush,모자 솔
hatted,모자 쓴
hatstand,모자걸이대
sparely,모자라게
leanness,모자람
scantiness,모자람
hatband,모자리본
sargasso,모자반
hatter,모자상
mozambique,모잠비크
felting,모전류
mauser,모제르 총
fakery,모조품
woolen,모직
sycosis,모창
caterpillar,모충
materfamilias,모친
mocha,모카
burbot,모캐
cusk,모캐
maoism,모택동주의
seedbed,모판
emprise,모험
peril,모험
venturer,모험자
adventurous,모험적인
enterprising,모험적인
hazardous,모험적인
adventurism,모험주의
mohair,모헤어
miniature,모형
ectype,모형복사
opacity,모호
moho,모호면
ambiguious,모호하다
waffling,모호하다
mahican,모히칸족
ringneck,목 둘레에 고리 무늬가 있는 새.동물
dewlapped,목 아랫살이 처진
throaty,목 안쪽에서 나오는
stranglehold,목 조르기
bucolic,목가
idyll,목가
gorget,목가리개
pastorale,목가적 가극
arcadian,목가적인
idyllic,목가적인
pastoralism,목가체
necklet,목걸이 털가죽 목도리
torquate,목걸이가 있는
unwitnessed,목격되지 않은
eyewitness,목격자
woodcraft,목공술
carpentry,목공품
xylophone,목금
xylophonist,목금연주자
marimba,목금의 일종
neckdeep,목까지 차는
xylose,목당
nape,목덜미
scruff,목덜미
neckpiece,목덮개
ruff,목도리도요
stockwhip,목동용 채찍으로  몰다
herdsman,목동자리
decolletage,목둘레를 깊이 판 네크라인
magnolia,목련
dramshop,목로주점
unlisted,목록에 실리지 않은
delist,목록에서 빼다
thirstily,목마르게
decapitation,목베기
decollator,목베는 관리
hibiscus,목부용속의 식물
clerkly,목사다운
pastorate,목사단
presentee,목사로 추천된 사람
clerically,목사로서
benefice,목사록
pastorship,목사직
reseda,목서속의 식물
mignonette,목서초
blockish,목석같은
jupiter,목성
jovian,목성의
callisto,목성의 위성의 하나
joviologist,목성학자
bullroarer,목소리 큰 연사
deepvoiced,목소리가 낮고 굵은
voiceful,목소리가 있는
louden,목소리가 커지다
loudspoken,목소리가 큰
boanerges,목소리가 큰연설가
vocalize,목소리로 내다
kerchief,목수건
hoarsen,목쉬게 하다
hoarse,목쉰
roupy,목쉰
sheepfarmer,목양업자
sheepwalk,목양장
laryngophone,목에 대는 송화기
neckwear,목에 착용하는 물건들
ruckle,목에서 그르렁거리는 소리
thursdays,목요일마다
bathwater,목욕물
balneal,목욕의
balneary,목욕의
cowman,목우업자
lowneck,목을 깊숙이 판 여자옷
barenecked,목을 드러낸
behead,목을 베다
potiche,목이 가는 단지
demijohn,목이 가는 병
ewenecked,목이 가늘고 아래로 처진
matrass,목이 긴 달걀 모양의 플라스크
seaboot,목이 긴 방수 장화
wryneck,목이 비뚤어진 사람
necked,목이 있는
flagon,목이 좁은 병
whitethroat,목이 흰 명금
bullnecked,목이굵은
breakneck,목이부러질것같은
athirst,목이타서
herder,목자
bootes,목자자리
rancher,목장 감독
ranchman,목장경영자
rancho,목장노동자의 오두막집
cowgirl,목장에서 일하는 여자
whitewood,목재
hylic,목재의
telesis,목적 달성
purposenovel,목적 소설
purposeful,목적 있는
purposive,목적 있는
teleology,목적론
teleological,목적론의
teleonomy,목적률
aimless,목적없는
objectless,목적이 없는
purposeless,목적이 없는
orienteering,목적지를 찾아가는 경기
uvula,목젖
treen,목제 가정용품
timbered,목조의
snell,목줄
ligneous,목질
xylem,목질부
xylotomy,목질을 얇게 절단하는 법
lignification,목질화
pasturage,목초
pasture,목초
graminaceous,목초가 많은
depasture,목초를 공급하다
grassland,목초지
meadows,목초지
meadowy,목초지의
pastoralist,목축민
stockman,목축업자
charcoal,목탄
hackle,목털
mane,목털
woodcut,목판
woodcutter,목판 조각가
xylographer,목판사
xylography,목판술목판 인쇄술
xylographic,목판의
flatcar,목판차
mbo,목표 관리
nontarget,목표가 되어 있지 않은
targetable,목표를 정할 수 있는
prioritize,목표에> 우선 순위를 매기다
pylon,목표탑
nonce,목하
existent,목하의
elecampane,목향
patternmaker,목형공
cottonseed,목화씨
pastoral,목회
allotment,몫
lot,몫
montenegro,몬테네그로
montenegrin,몬테네그로 사람
montevodeo,몬테비데오
mole,몰
ungainly,몰골스러운
unshapely,몰골스러운
moldavia,몰다비아
preoccupancy,몰두
engross,몰두 시키다
drowned,몰두하고 있는
rapt,몰두한
maldives,몰디브
downfallen,몰락한
bankrupt,몰락한
ponce,몰래 지내다
sneaky,몰래하는
molybdenum,몰리브덴
wulfenite,몰리브텐 연광
anihilation,몰살
extermination,몰살
confiscation,몰수
expropriation,몰수
forfeitable,몰수당할
confiscate,몰수된
consiscatory,몰수의
confiscator,몰수자
embargo,몰수하다
expropriate,몰수하다
gallnut,몰식자
gallfly,몰식자벌
ejective,몰아내는
ejectment,몰아냄
impellent,몰아대는
besiege,몰아세우다
setdown,몰아세움
myrrh,몰약
battue,몰이꾼
inappreciantion,몰이해
inapprehension,몰이해
incomprehension,몰이해
inhumanity,몰인정
unkindness,몰인정
unpleasantness,몰취미
inartistical,몰취한
malta,몰타
maltese,몰타 사람
caseworm,몸 둘레에 껍질을 만드는 애벌레
reducing,몸 야위는 법
primp,몸단장을 잘 하다
preen,몸단장하다
zaftig,몸매가 좋은
zoftig,몸매좋은
exteriorize,몸밖으로 내다
shudderingly,몸서리치며
breathalzer,몸속알코올분측정기
frisking,몸수색
skintight,몸에 꼭 끼는
formfitting,몸에 꼭끼는
tights,몸에 꽉 끼는 옷
gird,몸에 붙이다
leotard,몸에 착 붙는 옷
racking,몸을 괴롭히는
strigil,몸을 긁는 도구
bask,몸을 녹이다
ashiver,몸을 떠는
dither,몸을 떨다
devoted,몸을 바친
analeptic,몸을 보하는
blowfish,몸을 부풀리는 고기
eely,몸을 비비 꼬는
cryptic,몸을 숨기는데 알맞은
dodger,몸을 홱 비키는 사람
shimmy,몸을 흔드는 재즈춤
saddlesore,몸이 아픈
slightness,몸이 호리호리함
gesundheit,몸조심하세요!
petite,몸집이 작고 맵시 있는
towser,몸집이 크며 억센 바람
gesticulator,몸짓으로 나타내는사람
gesticulative,몸짓으로 하는 말하는
gesticulatory,몸짓이 섞인
gesticulation,몸짓하기
accouterments,몸차림
getup,몸차림
groom,몸차림시키다
titivate,몸치장하다
montaigne,몸테뉴
waist,몸통옷
truncal,몸통의
bodiless,몸통이없는
sloppily,몹시 감상적으로
hyperanxious,몹시 걱정하는
carp,몹시 꾸짖다
villainous,몹시 나쁜
astounded,몹시 놀라
amazedly,몹시 놀라서
sizzler,몹시 더운 날
uproarious,몹시 떠들어대는
agonize,몹시 번민케 하다
festinate,몹시 빨라지다
thrusting,몹시 뽐내는
amarelle,몹시 신 양버찌
preciosity,몹시 신경을 쓰기
execration,몹시 싫어함
detestable,몹시 싫은
nauseating,몹시 싫은
yucky,몹시 싫은
smarmy,몹시 알랑대는
eviltempered,몹시 언짢은
hotgospeler,몹시 열심인 복음 전도자
mindblowing,몹시 자극적인
covetous,몹시 탐내는
raring,몹시 하고 싶어하는
precipitance,몹시 허둥댐
precipitnacy,몹시 허둥댐
rageful,몹시 화난
backbreaking,몹시 힘드는
backbreaker,몹시 힘드는 일
fuckup,몹쓸사람
souldestroying,못 견디게 단조로운
undershoot,못 미쳐 착륙하다
goby,못 본체하다
burnedout,못 쓰게 된
hellbox,못 쓰는 활자를 넣는 상자
mishear,못 알아듣다
misremember,못 외다
illfavored,못난
lingering,못내 아쉬운
nailhead,못대가리
nailheaded,못대가리 모양의
scandalous,못된
hellcat,못된 계집
naughty,못된 나쁜
lowlife,못된 놈
misdeed,못된 짓
rascality,못된 짓
foreclose,못들어오게 하다
disagreeable,못마당하다
disapprovingly,못마땅하여
disapprobatory,못마땅해 하는
illaffected,못마땅해 하는
tsk,못마땅해하다
nailer,못만드는 사람
overslip,못보고 빠뜨리다
connivance,못본체 하기
connive,못본체 하다
bullyrag,못살게굴다
ugliness,못생김
pondlife,못에 사는 생물
nailless,못이 필요없는
